,Unnamed: 0,District,Census Year,Persons,Absolute change since previous census,Percentage change since previous census,Males,Females,Decade,Growth Rate
118,125,Firozpur,2001,1746107.0,297204.0,20.51234624,926224.0,819883.0,2000,20.512346237118706
119,126,Firozpur,2011,2029074.0,282967.0,16.20559336,1071637.0,957437.0,2010,16.205593357108118
126,134,Muktsar,1961,382776.0,116278.0,43.63184714,207348.0,175428.0,1960,43.63184714331816
127,135,Muktsar,1971,430991.0,48215.0,12.59613978,231402.0,199589.0,1970,12.596139778878502
128,136,Muktsar,1981,547394.0,116403.0,27.00822059,290428.0,256966.0,1980,27.008220589293042
129,137,Muktsar,1991,654434.0,107040.0,19.55447082,348146.0,306288.0,1990,19.5544708199213
130,138,Muktsar,2001,777493.0,123059.0,18.80388244,411217.0,366276.0,2000,18.803882438870833
131,139,Muktsar,2011,901896.0,124403.0,16.00052991,475622.0,426274.0,2010,16.000529908307847
138,147,Faridkot,1961,244718.0,62573.0,34.35339976,132344.0,112374.0,1960,34.35339976392435
139,148,Faridkot,1971,293475.0,48757.0,19.92374897,157258.0,136217.0,1970,19.92374896820013
140,149,Faridkot,1981,370556.0,77081.0,26.26492887,197196.0,173360.0,1980,26.26492886958003
141,150,Faridkot,1991,455005.0,84449.0,22.78980775,241690.0,213315.0,1990,22.789807748356527
142,151,Faridkot,2001,550892.0,95887.0,21.07383435,292596.0,258296.0,2000,21.073834353468634
143,152,Faridkot,2011,617508.0,66616.0,12.09238834,326671.0,290837.0,2010,12.092388344720927
150,160,Bathinda,1961,509031.0,131274.0,34.7509113,277505.0,231526.0,1960,34.750911300121516
151,161,Bathinda,1971,623172.0,114141.0,22.4231923,336729.0,286443.0,1970,22.423192300665384
152,162,Bathinda,1981,817764.0,194592.0,31.22604995,439350.0,378414.0,1980,31.226049950896375
153,163,Bathinda,1991,985301.0,167537.0,20.48720658,522961.0,462340.0,1990,20.487206577936902
154,164,Bathinda,2001,1183295.0,197994.0,20.09477307,632809.0,550486.0,2000,20.094773069346328
155,165,Bathinda,2011,1388525.0,205230.0,17.34394213,743197.0,645328.0,2010,17.34394212770274
162,173,Mansa,1961,319389.0,77457.0,32.01602103,174541.0,144848.0,1960,32.016021030702845
163,174,Mansa,1971,402099.0,82710.0,25.89632079,217069.0,185030.0,1970,25.896320787503633
164,175,Mansa,1981,486842.0,84743.0,21.07515811,260465.0,226377.0,1980,21.07515810782916
165,176,Mansa,1991,574662.0,87820.0,18.0387066,306888.0,267774.0,1990,18.038706602963583
166,177,Mansa,2001,688758.0,114096.0,19.85445357,366446.0,322312.0,2000,19.85445357444897
167,178,Mansa,2011,769751.0,80993.0,11.75928265,408732.0,361019.0,2010,11.759282650800419
174,186,Patiala,1961,673730.0,191213.0,39.62824108,368447.0,305283.0,1960,39.628241077516435
175,187,Patiala,1971,855029.0,181299.0,26.90974129,462239.0,392790.0,1970,26.909741291021618
176,188,Patiala,1981,1112368.0,257339.0,30.09710782,594533.0,517835.0,1980,30.097107817395674
177,189,Patiala,1991,1343517.0,231149.0,20.77990377,713261.0,630256.0,1990,20.779903772852148
178,190,Patiala,2001,1584780.0,241263.0,17.95756957,845230.0,739550.0,2000,17.957569572993858
179,191,Patiala,2011,1895686.0,310906.0,19.61824354,1002522.0,893164.0,2010,19.618243541690326
186,199,Amritsar,1961,1010093.0,129426.0,14.69636083,548489.0,461604.0,1960,14.696360826509913
187,200,Amritsar,1971,1209374.0,199281.0,19.72897545,652684.0,556690.0,1970,19.728975450775323
188,201,Amritsar,1981,1460497.0,251123.0,20.76470968,781156.0,679341.0,1980,20.76470967624573
189,202,Amritsar,1991,1698090.0,237593.0,16.26795536,904280.0,793810.0,1990,16.267955360401288
190,203,Amritsar,2001,2157020.0,458930.0,27.02624714,1152821.0,1004199.0,2000,27.026247136488646
191,204,Amritsar,2011,2490656.0,333636.0,15.46745046,1318408.0,1172248.0,2010,15.467450464066168
198,212,Tarn Taran,1961,524117.0,38170.0,7.854766055,278957.0,245160.0,1960,7.854766054734363
199,213,Tarn Taran,1971,626166.0,102049.0,19.47065255,336262.0,289904.0,1970,19.470652545137824
200,214,Tarn Taran,1981,728142.0,101976.0,16.28577725,388807.0,339335.0,1980,16.285777253955015
201,215,Tarn Taran,1991,806944.0,78802.0,10.8223396,433475.0,373469.0,1990,10.822339598594777
202,216,Tarn Taran,2001,939057.0,132113.0,16.3720159,497768.0,441289.0,2000,16.372015901970883
203,217,Tarn Taran,2011,1119627.0,180570.0,19.2288647,589369.0,530258.0,2010,19.228864701503735
210,225,Rupnagar,1961,319389.0,67585.0,26.84032025,175871.0,143518.0,1960,26.840320249082627
211,226,Rupnagar,1971,357783.0,38394.0,12.02107775,191057.0,166726.0,1970,12.021077745319975
